# FCI-FPGA FoM wizard dataset, derived from Zenodo record 8037239
# See data/zenodo_to_gui_csv.py for exactly how energy_long/fci/psd were derived
# (fci is 1 - Zenodo's own FCI column; psd is computed here, not published)
energy_long,fci,psd
27614.3,0.0926616,0.614995
19476.3,0.105657,0.57391
15213.7,0.111497,0.570299
8239,0.118108,0.586358
20063.7,0.115216,0.602299
23722,0.0846408,0.567111
10521,0.148264,0.635586
13348,0.129391,0.591924
6357.67,0.123409,0.616788
4459,0.157708,0.592958
14151,0.0929236,0.595152
17366,0.112553,0.583496
27196,0.115375,0.554935
8375,0.145738,0.601313
11173.3,0.0996159,0.538395
15140.3,0.10843,0.600097
19577.3,0.101229,0.62586
7583.67,0.1389,0.555053
16968.3,0.110094,0.599037
14853.3,0.109752,0.606239
12979.7,0.114524,0.607129
14684,0.0994346,0.583833
8435.67,0.132119,0.595369
13739.3,0.117248,0.603062
13296.3,0.111902,0.584873
13721,0.103409,0.573792
9342.67,0.126659,0.595583
25468,0.0889046,0.569067
15397,0.127679,0.601286
8608.33,0.135564,0.544201
17313,0.0992487,0.614394
13176.7,0.128586,0.564584
12166.3,0.104122,0.574262
17443,0.11629,0.570487
6445,0.147642,0.599224
13736.3,0.110369,0.585066
28710,0.112204,0.602856
17671,0.091917,0.577783
19835.7,0.121442,0.583662
4184.33,0.181108,0.66263
9920.67,0.12224,0.624588
15446,0.11444,0.576654
9429.67,0.12086,0.588285
9882.33,0.122231,0.585253
9696,0.120167,0.597669
7314,0.126728,0.584769
16421.7,0.0955337,0.561839
5391,0.149994,0.592283
17309.7,0.110807,0.587668
7313.33,0.128455,0.578213
15627.3,0.109694,0.560599
14067.3,0.11011,0.562201
10926.7,0.113259,0.581452
18592.7,0.106847,0.577504
5312.33,0.145739,0.568426
13120.3,0.113413,0.559259
11215.3,0.104197,0.592195
13412.7,0.105929,0.598414
6304.67,0.145789,0.567093
5100,0.136348,0.584314
6722,0.143321,0.598631
13709.3,0.102362,0.585197
6491,0.144038,0.583577
10165.3,0.101819,0.566501
15831,0.113335,0.565599
12169,0.118016,0.579587
14196.3,0.112527,0.596609
26474,0.114543,0.595792
8347,0.113584,0.586798
11753.3,0.145982,0.590953
5946,0.158256,0.618231
15176.3,0.11811,0.57146
12156.7,0.110342,0.609323
19235.7,0.108575,0.620063
12234.3,0.138081,0.5875
11560.3,0.112012,0.609469
8071.67,0.121818,0.576007
11253.7,0.1282,0.60019
25175.7,0.0992616,0.581765
10278.3,0.114828,0.586639
7900.33,0.124216,0.629425
16557.7,0.0987463,0.585006
25052.7,0.0983257,0.569134
17581,0.104956,0.584438
12290.3,0.0996877,0.559518
25135.7,0.0967414,0.577917
12510.3,0.119259,0.571741
15098,0.106849,0.584779
18179.3,0.0987889,0.588397
6327,0.130134,0.584953
8790,0.12306,0.585666
26680.3,0.104313,0.594358
24843,0.0961,0.584511
13238,0.115324,0.569497
27066,0.0933512,0.558856
11372.7,0.106795,0.563661
25045,0.0989433,0.598123
16286.3,0.103052,0.594957
10910,0.117626,0.549954
28953.3,0.109246,0.593012
10905,0.117843,0.581385
19362,0.108485,0.587904
9022.67,0.115703,0.596313
4731.33,0.1519,0.575454
6670,0.156336,0.604048
27043,0.0917323,0.58603
7030.33,0.134455,0.576881
11480.7,0.118974,0.607572
17246,0.100059,0.621303
14603.7,0.110513,0.6085
8620,0.12143,0.596288
20036,0.106546,0.576462
10313,0.131229,0.606613
13818.7,0.118609,0.593135
12093.3,0.123959,0.606918
19067,0.116074,0.578067
14109.7,0.10647,0.56942
6246.33,0.16141,0.621912
9079,0.12395,0.57231
18886.3,0.103626,0.57749
17684.7,0.121561,0.587194
11649,0.147457,0.596189
27138.7,0.0930627,0.592488
26247,0.102116,0.594925
19827.7,0.101641,0.574719
12234.7,0.111694,0.56547
14395.3,0.102865,0.585722
16504.7,0.12025,0.608454
7060.33,0.14817,0.586186
26940.7,0.110381,0.583962
11135.7,0.115781,0.622085
25102.3,0.102547,0.554517
9430.67,0.11951,0.615686
10105.3,0.113822,0.578968
16231.7,0.10353,0.61764
8562.33,0.134764,0.563476
23305.3,0.0999224,0.600749
15259.3,0.107076,0.597317
25977.3,0.0993585,0.561015
27018.7,0.105666,0.603743
19544,0.110548,0.56887
16226.7,0.114843,0.555649
11058.3,0.114614,0.584959
11497.3,0.111694,0.561753
10524,0.140797,0.592645
27168.7,0.113155,0.60133
16706.7,0.115764,0.619773
8689.33,0.12963,0.587464
8483.67,0.124178,0.561589
4893.33,0.179836,0.60218
15135.7,0.110176,0.588169
9672.33,0.129706,0.584726
7204.33,0.158872,0.600564
19286,0.110401,0.610858
7106.33,0.151412,0.556921
6670,0.151855,0.596852
5428.33,0.174886,0.608965
13938,0.100631,0.556249
16501.7,0.125612,0.606262
7417,0.132216,0.553189
13226.7,0.119349,0.57621
8777,0.134506,0.587444
19708,0.109224,0.591993
18416,0.10427,0.572057
17457.3,0.108141,0.556996
7619.67,0.135181,0.592852
18297.3,0.108833,0.594385
8375.67,0.135666,0.59247
7477.33,0.163765,0.608595
8668.67,0.142085,0.590556
8761.33,0.139157,0.635139
10443,0.127244,0.573877
9437.33,0.119651,0.599181
10801.7,0.125388,0.565777
6486.67,0.16878,0.580319
28237,0.105382,0.610794
10783.3,0.129471,0.57085
14737.3,0.107652,0.586515
5835.67,0.155456,0.579768
11438.3,0.137626,0.571645
28294,0.124348,0.5891
14197.3,0.132887,0.56473
12271.3,0.146233,0.628429
20167.3,0.1115,0.592675
15115.3,0.0982472,0.601089
12713,0.120497,0.57099
12831,0.120869,0.589744
10833,0.110144,0.616265
7329.33,0.137161,0.574359
10224,0.106864,0.573944
18655.3,0.0948733,0.581049
7409.33,0.134063,0.619714
9189.67,0.110552,0.565889
15144.7,0.112292,0.593168
12013.3,0.122337,0.597142
8549.67,0.115978,0.581582
5948.33,0.124219,0.565985
12169.3,0.106476,0.623918
15075,0.104922,0.57937
14976,0.115595,0.578993
8495.33,0.134991,0.614533
16393,0.0898626,0.580065
14456,0.130476,0.588475
8910,0.121525,0.594388
5467.33,0.15741,0.556883
19381,0.113169,0.557969
16242,0.108197,0.584903
17547.3,0.091925,0.583659
5527.67,0.170372,0.596515
11053.3,0.105943,0.572376
9196.67,0.114536,0.555781
18074.7,0.10508,0.590071
14398.3,0.119898,0.582475
14958,0.101206,0.581027
7392.33,0.1292,0.63372
12953.3,0.116708,0.589938
12338.3,0.107969,0.582629
12409.7,0.107818,0.590051
18083.7,0.0922656,0.556045
4667,0.143142,0.626741
15705.7,0.118559,0.562111
17098.7,0.0912017,0.598312
8337.67,0.134157,0.568544
14129.7,0.108544,0.580151
15046.3,0.116654,0.57653
13508.3,0.101103,0.606046
9477,0.107768,0.602933
16095,0.0993625,0.613607
17857.7,0.102155,0.561738
7026.67,0.13841,0.627087
4355,0.181292,0.565098
7680,0.121189,0.602083
6627.67,0.127467,0.566766
18513,0.109854,0.589316
17659.3,0.109613,0.565065
18658.3,0.102497,0.61172
25486.7,0.106091,0.592558
10093,0.134614,0.593282
6308,0.142732,0.574667
18870.3,0.10006,0.580947
18029.3,0.102252,0.585749
14201.3,0.121419,0.598794
15525,0.0956173,0.590209
14740,0.099999,0.59464
13731.7,0.0909019,0.6159
10082.3,0.0933124,0.559857
16708,0.0994471,0.582236
11738.7,0.116606,0.607508
11101.3,0.108303,0.584494
6168.33,0.144718,0.595245
